Incremental QALY	Incremental Costs
0.115036794	95019.98028
0.185423528	98160.9054
0.151193695	195726.5098
0.301153374	164793.6219
0.204796367	153564.0325
0.05359912	142151.3973
0.147604094	115532.9691
0.061454662	139557.9321
0.142165091	113414.8697
0.198611104	137667.4775
0.247349876	66797.24907
0.150005579	87365.57912
0.104028025	87794.69283
0.169803064	76942.79765
0.126917175	75466.22657
0.269544597	166110.7642
0.241338822	160198.8096
0.22171274	141355.8096
0.279446705	198684.8712
0.083460493	146041.508
0.240655913	97184.36008
0.221820375	116425.6767
0.242690607	197197.218
0.091031328	141649.6713
0.249752856	191882.3275
0.293714383	122930.8763
0.270452021	153611.7248
0.237979314	89070.60305
0.140959341	139066.0017
0.050301511	127270.7851
0.274659532	94404.233
0.307924242	141119.8649
0.322907155	169481.9751
0.166749627	115734.4678
0.261275428	183351.4844
0.150970168	78151.87808
0.249728022	90711.75846
0.08660076	124668.4051
0.184552494	97842.89696
0.183940163	151375.1317
0.161390957	145849.9882
0.25543176	120985.4823
0.293404257	135066.8109
0.208522796	197276.9801
0.161712639	127138.5147
0.078997552	169569.1603
0.199866379	167615.7995
0.207163752	101587.5902
0.326866241	75510.90108
0.227099907	94749.76548
0.129487212	182974.2365
0.195980377	107574.8013
0.226326529	152081.7692
0.21140641	156928.8885
0.26236676	106646.8802
0.262829012	104220.089
0.088074372	175523.7204
0.168287933	127210.0051
0.119976447	107628.6157
0.250921041	187812.9065
0.098124513	93108.92451
0.106726871	171789.4046
0.133102958	156164.5151
0.119647716	141389.9247
0.249605048	144028.4499
0.214626512	151143.6963
0.106437736	135303.066
0.151091543	167861.7885
0.259307785	191533.8888
0.142839373	178981.3876
0.288195593	133250.6011
0.092077397	128272.3376
0.22401399	160946.4261
0.1942367	149194.0197
0.096079946	139746.6835
0.126303678	144809.0883
0.289874683	172642.1059
0.21415277	91772.50451
0.277453797	119063.3346
0.309789863	138059.4549
0.205326173	116864.2569
0.135902716	146107.999
0.290054266	185071.7558
0.049076921	107866.9631
0.163104265	178868.162
0.192268581	147017.7171
0.154004792	109736.7357
0.262637659	92935.50053
0.167485666	92813.08658
0.22890699	134029.8218
0.093365146	182343.4011
0.198500906	167072.3728
0.188069749	175716.5378
0.264527521	104320.7747
0.188718958	150310.2881
0.268163136	216587.8818
0.101923559	155195.3035
0.236114448	153484.0866
0.152413153	154496.0239
0.110284611	128901.969
0.155798298	156804.9853
0.19062115	109037.2484
0.326096674	166527.1513
0.140159201	104820.6331
0.028297889	125812.0625
0.195389575	168905.9748
0.260814233	78328.2852
0.306666145	143401.8371
0.256968608	150535.9213
0.22998891	130850.3596
0.282259194	131541.3775
0.162096709	147086.5089
0.320783027	81172.73413
0.221988196	157516.2008
0.145957804	104429.3538
0.130207012	101088.4021
0.117484126	219305.5734
0.244224403	170060.3486
0.12421853	123903.3463
0.196723398	171230.0015
0.095938519	72194.98945
0.111103094	153322.2024
0.129752334	86233.88333
0.165801704	111067.8243
0.138321241	74091.45318
0.191072017	142552.5245
0.248286611	71993.85038
0.124899495	69382.28444
0.246740105	164615.9932
0.281394712	131928.8202
0.047300763	112654.2222
0.180879755	172092.8851
0.104165082	89207.7562
0.319230715	132367.624
0.115139085	117881.6375
0.257911413	130709.9989
0.227448959	135435.4064
0.218907178	133591.3846
0.116449872	149779.1956
0.163419218	88274.52801
0.149479674	107328.6794
0.21052234	145218.3509
0.206528102	94305.5599
0.113213106	150160.928
0.190088553	174110.0617
0.237083838	196678.3442
0.061420205	171287.6825
0.149494479	129138.3709
0.169244623	129702.555
0.127547616	138497.6255
0.240374821	102975.3618
0.092303383	183998.8772
0.234844915	144946.0254
0.289975757	195382.177
0.189711882	113772.4763
0.140021069	125425.839
0.183642541	155226.3014
0.274540023	137783.814
0.325132254	119535.1861
0.130696396	192293.4801
0.319876564	190189.197
0.129300024	187579.077
0.195725962	199380.2328
0.168392282	151072.9094
0.233109541	130441.0276
0.213080235	116244.3808
0.038869829	91768.36313
0.183120987	146094.416
0.109465061	82822.2101
0.209894513	215039.8317
0.125005984	173913.9692
0.232560311	108622.1922
0.257363019	97585.36577
0.089087906	142369.603
0.191484656	120240.7206
0.159649289	180233.598
0.278690348	86475.70402
0.088252094	170217.2246
0.24182486	172512.6539
0.132663235	106303.1898
0.186322735	194111.5659
0.159799878	178959.0615
0.165297914	183477.0725
0.122918181	159296.8485
0.247707209	116575.655
0.199123712	70151.3922
0.237159686	130857.8489
0.122689762	62057.47679
0.213268836	161402.7056
0.22658269	175085.5063
0.252136633	152081.374
0.275387091	193133.9326
0.245018313	212615.3573
0.225885087	199213.5536
0.178694857	165858.8891
0.158966419	96395.66789
0.260854436	174492.344
0.170930604	155772.6978
0.223326851	151248.3969
0.249083226	83104.71303
0.241557446	99649.28845
0.105488412	144320.4151
0.292418448	111082.0751
0.274566524	186534.0622
0.233322722	167803.038
0.287425936	196819.7498
0.169968034	166520.444
0.199896906	155775.9663
0.264937286	126093.764
0.092098183	78339.63723
0.270454989	88484.7719
0.066805996	94835.23522
0.166133543	86529.6969
0.070285269	171689.6758
0.162012998	96330.8626
0.143259363	155685.4151
0.082576571	177925.2842
0.105181341	109473.318
0.192012076	102505.3117
0.271035378	182957.5668
0.268046586	132262.9469
0.165710188	155457.207
0.145114663	120344.798
0.157221986	130630.7016
0.260040618	131289.1814
0.083225956	184144.6796
0.210529777	130124.4384
0.228414832	192066.256
0.138183968	148375.9126
0.143914529	174397.1689
0.166535843	194674.43
0.109086122	100578.184
0.113458374	186498.0537
0.052567045	173214.2914
0.151424267	125358.5159
0.285580864	139611.7002
0.241357715	162518.9517
0.266588054	162291.6655
0.217874105	161770.16
0.092282857	155880.0504
0.20295094	111476.5854
0.252109825	68063.14058
0.177607092	156910.8068
0.221231197	135544.9471
0.295642114	79332.66562
0.217099795	108346.7736
0.19141129	119903.5432
0.195876083	118333.6461
0.107778848	123214.1701
0.246541049	185429.5262
0.210601077	153314.5709
0.245580687	175603.0584
0.27211754	109894.9774
0.047205349	193688.001
0.087832898	108525.2126
0.299796732	107376.4804
0.105803686	96765.49447
0.284072028	140967.8396
0.046376866	83019.04356
0.228484868	146293.4832
0.075800271	101650.6024
0.216338903	215073.4835
0.143513207	159828.8095
0.131053397	182910.7397
0.197367281	122405.0379
0.165396655	123602.0632
0.261074575	205122.1328
0.144298067	180190.3449
0.115377665	121735.7005
0.15902749	185384.9614
0.101079904	102610.359
0.322009334	145038.9101
0.214431117	124215.9329
0.144585357	123890.9379
0.116518076	101171.8602
0.312707975	105561.6233
0.058142916	153345.401
0.071354006	177939.8292
0.199413144	110224.2075
0.244086176	94204.15254
0.321780648	125876.987
0.139163447	121189.237
0.247008681	134691.46
0.307850465	170437.479
0.224689892	157193.7473
